accountingYearMonthNumber,symbolCode,issueName,issuerServicesGroupExchangeCode,marketClassCode,currentShortPositionQuantity,previousShortPositionQuantity,stockSplitFlag,averageDailyVolumeQuantity,daysToCoverQuantity,revisionFlag,changePercent,changePreviousNumber,settlementDate,date
20250115,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,46280261,48723373,,13161769,3.52,,-5.01,-2443112,2025-01-15,2025-01-15
20250115,BB,BlackBerry Limited,A,NYSE,30538347,29497696,,20323051,1.5,,3.53,1040651,2025-01-15,2025-01-15
20250115,GME,GameStop Corp. Class A,A,NYSE,32138831,31301108,,8687628,3.7,,2.68,837723,2025-01-15,2025-01-15
20250115,KOSS,Koss Corporation Common Stock,R,SC,233639,260727,,135729,1.72,,-10.39,-27088,2025-01-15,2025-01-15
20250115,NOK,Nokia Corporation,A,NYSE,55846764,52863330,,13975682,4.0,,5.64,2983434,2025-01-15,2025-01-15
20241231,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,48723373,53045291,,14936634,3.26,,-8.15,-4321918,2024-12-31,2024-12-31
20241231,BB,BlackBerry Limited,A,NYSE,29497696,27544458,,19427735,1.52,,7.09,1953238,2024-12-31,2024-12-31
20241231,GME,GameStop Corp. Class A,A,NYSE,31301108,31061785,,12175556,2.57,,0.77,239323,2024-12-31,2024-12-31
20241231,KOSS,Koss Corporation Common Stock,R,SC,260727,311217,,168562,1.55,,-16.22,-50490,2024-12-31,2024-12-31
20241231,NOK,Nokia Corporation,A,NYSE,52863330,50848207,,10203750,5.18,,3.96,2015123,2024-12-31,2024-12-31
20241213,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,53045291,49455853,,21000202,2.53,,7.26,3589438,2024-12-13,2024-12-13
20241213,BB,BlackBerry Limited,A,NYSE,27544458,26267590,,15483905,1.78,,4.86,1276868,2024-12-13,2024-12-13
20241213,GME,GameStop Corp. Class A,A,NYSE,31061785,32404004,,14746751,2.11,,-4.14,-1342219,2024-12-13,2024-12-13
20241213,KOSS,Koss Corporation Common Stock,R,SC,311217,354104,,208634,1.49,,-12.11,-42887,2024-12-13,2024-12-13
20241213,NOK,Nokia Corporation,A,NYSE,50848207,50895709,,14412309,3.53,,-0.09,-47502,2024-12-13,2024-12-13
20241129,AMC,"AMC ENTERTAINMENT HOLDINGS, IN",A,NYSE,49455853,49811860,,14254701,3.47,,-0.71,-356007,2024-11-29,2024-11-29
20241129,BB,BlackBerry Limited,A,NYSE,26267590,24825096,,10041409,2.62,,5.81,1442494,2024-11-29,2024-11-29
20241129,GME,GameStop Corp. Class A,A,NYSE,32404004,31866496,,13223249,2.45,,1.69,537508,2024-11-29,2024-11-29
