Ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
BASE,"Couchbase, Inc.",N/A,$19.21,,NaN,0.0%,"$1,023.82",,0,,NaN,NaN
BATRA,"Atlanta Braves Holdings, Inc.",Communication Services,$46.32,,NaN,0.0%,"$2,899.31",,0,,NaN,NaN
BATRK,"Atlanta Braves Holdings, Inc.",Communication Services,$44.02,,NaN,0.0%,"$2,899.31",,0,,44.4,$35.46
BBAI,"BigBear.ai Holdings, Inc.",N/A,$4.02,,NaN,0.0%,"$1,153.11",,0,,NaN,NaN
BBCP,"Concrete Pumping Holdings, Inc.",Industrials,$5.99,17.0%,2.8%,0.0%,$311.13,$24.70,0,94.6%,NaN,NaN
BBIO,"BridgeBio Pharma, Inc.",Healthcare,$40.00,,0.0%,0.0%,"$7,595.23",,0,128.2%,41.7,$21.62
BBNX,"Beta Bionics, Inc.",N/A,$18.25,,0.0%,0.0%,$546.11,,0,181.4%,24.5,$8.89
BBSI,BARRETT BUSINESS SERVICES INC,Industrials,$41.44,1.0%,0.7%,32.0%,"$1,063.42",$20.41,0,82.3%,44.8,$31.51
BBUC,Brookfield Business Corp,N/A,$28.14,1.0%,0.6%,25.0%,"$2,054.45",,,142.1%,30.1,$18.04
BBW,BUILD-A-BEAR WORKSHOP INC,Consumer Cyclical,$52.47,2.0%,1.6%,82.0%,$693.45,$12.27,0,65.5%,55.6,$23.22
BCAL,California BanCorp \ CA,Financial Services,$14.31,,0.0%,0.0%,$465.45,$26.83,0,81.3%,18.5,$11.87
BCAX,Bicara Therapeutics Inc.,N/A,$9.42,,0.0%,0.0%,$513.52,,0,141.3%,28.1,$7.80
BCBP,BCB BANCORP INC,Financial Services,$7.82,8.0%,7.9%,0.0%,$133.87,$52.44,3,,13.6,$7.54
BCC,BOISE CASCADE Co,Basic Materials,$83.88,1.0%,3.3%,0.0%,"$3,159.39",$10.11,1,,NaN,NaN
BCML,BayCom Corp,Financial Services,$26.62,2.0%,1.0%,0.0%,$293.00,$12.50,0,,NaN,NaN
BCO,BRINKS CO,Industrials,$87.10,1.2%,1.0%,0.0%,"$3,658.20",$22.14,0,,NaN,NaN
BCPC,BALCHEM CORP,Basic Materials,$159.70,0.5%,0.4%,0.0%,"$5,211.27",$38.17,0,,NaN,NaN
BCRX,BIOCRYST PHARMACEUTICALS INC,Healthcare,$9.97,,NaN,0.0%,"$2,084.13",,0,,NaN,NaN
BDC,BELDEN INC.,Industrials,$109.53,,0.2%,0.0%,"$4,324.12",$20.30,0,,NaN,NaN
BDN,BRANDYWINE REALTY TRUST,Real Estate,$4.39,14.0%,17.4%,0.0%,$759.25,,,,6.2,$3.41
BDTX,"Black Diamond Therapeutics, Inc.",Healthcare,$2.33,,NaN,0.0%,$132.49,$26.02,0,,NaN,NaN
BE,Bloom Energy Corp,Industrials,$21.69,,NaN,0.0%,"$4,992.92",,0,201.2%,NaN,NaN
BEAM,Beam Therapeutics Inc.,Healthcare,$17.27,,0.0%,0.0%,"$1,708.47",,0,212.7%,35.3,$13.53
BECN,BEACON ROOFING SUPPLY INC,Industrials,$124.21,,0.0%,0.0%,"$7,718.62",$24.66,0,94.5%,NaN,NaN
BELFA,BEL FUSE INC /NJ,Technology,$80.74,,0.3%,24.0%,"$1,030.49",$23.99,0,128.7%,106.8,$53.90
BELFB,BEL FUSE INC /NJ,Technology,$89.39,,0.4%,28.0%,"$1,030.49",$23.99,0,149.1%,92.4,$57.94
BFC,Bank First Corp,Financial Services,$111.45,1.6%,1.6%,515.0%,"$1,106.72",$16.18,0,57.6%,117.3,$73.72
BFH,"BREAD FINANCIAL HOLDINGS, INC.",N/A,$52.78,2.0%,1.6%,84.0%,"$2,455.93",$8.74,0,135.7%,66.2,$38.05
BFS,"SAUL CENTERS, INC.",Real Estate,$35.03,7.0%,6.7%,236.0%,$845.85,$23.74,1,80.6%,41.0,$31.03
BFST,"Business First Bancshares, Inc.",Financial Services,$23.16,2.4%,2.1%,0.0%,$686.25,$10.29,0,,NaN,NaN
BGC,"BGC Group, Inc.",N/A,$9.58,1.0%,0.3%,0.0%,"$4,671.82",$35.14,0,,NaN,NaN
BGS,"B&G Foods, Inc.",Consumer Defensive,$4.31,18.0%,31.6%,0.0%,$342.33,,,,NaN,NaN
BH,Biglari Holdings Inc.,Consumer Cyclical,$275.06,,NaN,0.0%,$845.25,,0,,NaN,NaN
BHB,BAR HARBOR BANKSHARES,Financial Services,$28.62,4.5%,3.6%,0.0%,$439.43,$10.06,0,,37.4,$23.56
BHE,BENCHMARK ELECTRONICS INC,Technology,$37.70,2.0%,1.8%,0.0%,"$1,361.16",$25.70,0,,NaN,NaN
BHLB,BERKSHIRE HILLS BANCORP INC,Financial Services,$23.90,4.0%,2.7%,0.0%,"$1,106.39",$6.22,0,,31.9,$20.62
BHR,Braemar Hotels & Resorts Inc.,Real Estate,$2.59,8.0%,4.5%,0.0%,$173.65,,5,,3.8,$1.80
BHRB,Burke & Herbert Financial Services Corp.,Financial Services,$56.04,4.0%,1.7%,0.0%,$844.20,$14.86,1,,73.4,$45.66
BHVN,Biohaven Ltd.,Healthcare,$14.38,,NaN,0.0%,$980.84,,0,,55.7,$14.18
BIGC,"BigCommerce Holdings, Inc.",N/A,$4.91,,NaN,0.0%,$393.28,,0,182.2%,8.5,$4.74
BIOA,"BioAge Labs, Inc.",N/A,$4.38,,0.0%,0.0%,$157.38,,0,155.7%,26.6,$2.88
BIPC,Brookfield Infrastructure Corp,Financial Services,$40.49,2.0%,0.4%,86.0%,"$4,822.38",$11.27,11,71.7%,42.3,$31.73
BJRI,BJs RESTAURANTS INC,Consumer Cyclical,$45.68,,0.0%,50.0%,"$1,006.71",,,128.9%,46.2,$27.61
BKD,Brookdale Senior Living Inc.,Healthcare,$6.85,,0.0%,125.0%,"$1,602.94",,0,97.6%,8.1,$4.45
BKE,BUCKLE INC,Consumer Cyclical,$44.83,9.0%,4.2%,390.0%,"$2,294.90",$11.72,1,81.1%,50.8,$32.79
BKH,BLACK HILLS CORP /SD/,Utilities,$55.94,4.8%,4.2%,265.0%,"$4,058.35",$14.52,1,59.3%,64.1,$50.13
BKSY,BlackSky Technology Inc.,N/A,$12.96,,NaN,0.0%,$402.30,,0,,21.9,$3.86
BKU,"BankUnited, Inc.",Financial Services,$33.75,3.7%,3.0%,0.0%,"$2,539.15",$10.45,0,,NaN,NaN
BKV,BKV Corp,N/A,$24.28,,NaN,0.0%,"$2,058.36",,0,,NaN,NaN
BL,"BLACKLINE, INC.",Technology,$55.01,,NaN,0.0%,"$3,425.11",$21.90,0,,NaN,NaN
BLBD,Blue Bird Corp,Consumer Cyclical,$41.84,,NaN,0.0%,"$1,320.70",$12.21,0,,57.8,$30.04
BLDE,"Blade Air Mobility, Inc.",N/A,$3.98,,NaN,0.0%,$315.16,,0,,5.2,$2.35
BLFS,BIOLIFE SOLUTIONS INC,Healthcare,$21.53,,NaN,0.0%,"$1,023.52",,0,,29.6,$18.70
BLFY,Blue Foundry Bancorp,N/A,$8.82,,NaN,0.0%,$192.66,,0,,NaN,NaN
BLKB,BLACKBAUD INC,Technology,$60.29,,NaN,0.0%,"$2,912.52",,0,,89.0,$58.05
BLMN,"Bloomin' Brands, Inc.",Consumer Cyclical,$8.95,9.0%,7.3%,0.0%,$762.15,,25,119.8%,20.1,$5.98
BLND,"Blend Labs, Inc.",N/A,$3.21,,0.0%,0.0%,$832.44,,0,125.5%,5.5,$2.08
BLNK,Blink Charging Co.,Consumer Cyclical,$0.95,,0.0%,0.0%,$97.48,,0,190.6%,3.8,$0.63
BLUE,"bluebird bio, Inc.",Healthcare,$4.96,,0.0%,0.0%,$48.67,,0,104.9%,NaN,NaN
BLX,"FOREIGN TRADE BANK OF LATIN AMERICA, INC.",Financial Services,$41.67,5.0%,3.4%,225.0%,"$1,534.55",$7.45,0,71.4%,42.8,$26.13
BLZE,"Backblaze, Inc.",N/A,$5.15,,0.0%,0.0%,$278.89,,0,160.3%,8.1,$3.94
BMBL,Bumble Inc.,N/A,$5.26,,0.0%,0.0%,$542.28,,,141.2%,10.7,$3.55
BMEA,"Biomea Fusion, Inc.",N/A,$1.93,,0.0%,0.0%,$71.76,,0,,13.1,$1.29
BMI,BADGER METER INC,Industrials,$241.93,0.6%,0.4%,0.0%,"$7,117.10",$53.03,0,,256.1,$161.94
BMRC,Bank of Marin Bancorp,Financial Services,$21.49,5.0%,4.6%,0.0%,$348.65,,,,26.5,$13.80
BNL,"Broadstone Net Lease, Inc.",N/A,$16.27,7.0%,6.3%,0.0%,"$3,074.44",$26.95,2,,NaN,NaN
BOC,BOSTON OMAHA Corp,N/A,$13.93,,NaN,0.0%,$437.20,$516.58,9,,16.2,$12.41
BOH,BANK OF HAWAII CORP,Financial Services,$65.17,5.0%,4.4%,0.0%,"$2,591.50",$18.30,1,,80.3,$52.77
BOLD,"Boundless Bio, Inc.",N/A,$1.05,,NaN,0.0%,$23.28,,0,,NaN,NaN
BOOM,DMC Global Inc.,Energy,$7.93,,NaN,0.0%,$162.29,,,,15.1,$6.02
BOOT,"Boot Barn Holdings, Inc.",Consumer Cyclical,$163.34,,NaN,0.0%,"$4,995.71",$27.61,0,,176.6,$86.17
BORR,Borr Drilling Ltd,Energy,$2.24,6.0%,2.9%,0.0%,$548.64,$6.68,1,,NaN,NaN
BOW,Bowhead Specialty Holdings Inc.,N/A,$36.15,,NaN,0.0%,"$1,178.14",$27.62,0,31.7%,NaN,NaN
BOX,BOX INC,Technology,$35.01,,0.0%,113.0%,"$5,070.66",$55.63,0,87.3%,38.8,$24.63
BPMC,Blueprint Medicines Corp,Healthcare,$128.12,,0.0%,0.0%,"$8,274.27",,0,141.8%,128.3,$73.04
BPRN,"Princeton Bancorp, Inc.",Financial Services,$29.22,4.0%,2.4%,120.0%,$187.05,$16.59,1,69.6%,38.6,$26.99
BRCC,BRC Inc.,N/A,$1.44,,0.0%,0.0%,$304.91,,0,104.6%,7.1,$1.43
BRKL,BROOKLINE BANCORP INC,Financial Services,$10.03,5.0%,5.3%,54.0%,$892.83,$12.21,1,81.5%,12.8,$7.77
BRSP,"BrightSpire Capital, Inc.",N/A,$5.12,13.0%,11.8%,68.0%,$667.97,,,123.1%,6.2,$4.16
BRT,BRT Apartments Corp.,Real Estate,$15.82,6.3%,6.1%,100.0%,$300.93,,,68.0%,19.7,$14.61
BRY,Berry Corp (bry),Energy,$3.27,13.0%,13.9%,0.0%,$253.74,,,,6.5,$2.09
BRZE,"Braze, Inc.",N/A,$26.80,,NaN,0.0%,"$2,832.51",,0,,NaN,NaN
BSRR,SIERRA BANCORP,Financial Services,$27.37,4.0%,3.3%,0.0%,$377.25,$9.35,0,,NaN,NaN
BSVN,Bank7 Corp.,Financial Services,$37.96,2.5%,1.6%,0.0%,$360.39,$8.05,0,,NaN,NaN
BTBT,"Bit Digital, Inc",N/A,$2.44,,NaN,0.0%,,,,,NaN,NaN
BTMD,biote Corp.,N/A,$3.99,,NaN,0.0%,$201.95,$9.60,0,,NaN,NaN
BTSG,"BrightSpring Health Services, Inc.",N/A,$22.37,,NaN,0.0%,"$3,899.61",$68.14,0,,NaN,NaN
BTU,PEABODY ENERGY CORP,Energy,$14.27,2.0%,1.0%,0.0%,"$1,735.23",$4.75,0,,NaN,NaN
BUR,Burford Capital Ltd,N/A,$11.04,,0.8%,0.0%,"$2,414.03",$11.64,1,,NaN,NaN
BUSE,FIRST BUSEY CORP /NV/,Financial Services,$22.49,4.0%,4.1%,98.0%,"$2,011.75",$35.00,1,66.6%,28.0,$18.17
BV,"BrightView Holdings, Inc.",Industrials,$15.55,,0.0%,0.0%,"$1,484.77",$157.95,1,131.9%,18.9,$11.81
BVS,Bioventus Inc.,N/A,$6.42,,0.0%,0.0%,$528.19,,0,70.7%,14.4,$5.28
BWB,Bridgewater Bancshares Inc,Financial Services,$14.96,,0.0%,0.0%,$410.50,$13.43,0,82.2%,16.3,$10.76
BWFG,"Bankwell Financial Group, Inc.",Financial Services,$34.87,2.0%,2.2%,80.0%,$273.76,$21.23,0,70.9%,36.0,$22.21
BWIN,"Baldwin Insurance Group, Inc.",N/A,$39.32,,0.0%,0.0%,"$2,780.44",,0,121.3%,55.8,$32.46
BWMN,Bowman Consulting Group Ltd.,N/A,$26.62,,0.0%,0.0%,$460.98,$176.08,0,106.9%,36.7,$17.90
BXC,BlueLinx Holdings Inc.,Industrials,$66.34,,0.0%,0.0%,$531.23,$13.82,0,,134.8,$63.14
BXMT,"BLACKSTONE MORTGAGE TRUST, INC.",Real Estate,$19.36,9.7%,12.7%,0.0%,"$3,314.93",,,,NaN,NaN
BY,"BYLINE BANCORP, INC.",Financial Services,$24.95,2.0%,1.3%,0.0%,"$1,153.35",$9.73,0,,NaN,NaN
BYND,"BEYOND MEAT, INC.",Consumer Defensive,$3.39,,NaN,0.0%,$259.24,,0,,NaN,NaN
BYON,"BEYOND, INC.",N/A,$6.16,,NaN,0.0%,$355.31,,0,,NaN,NaN
BYRN,Byrna Technologies Inc.,Industrials,$31.94,,NaN,0.0%,$701.55,$47.12,0,,NaN,NaN
BZH,BEAZER HOMES USA INC,Consumer Cyclical,$21.45,,NaN,0.0%,$650.01,$6.83,0,,NaN,NaN
CABA,"Cabaletta Bio, Inc.",Healthcare,$1.74,,NaN,0.0%,$87.79,,0,312.9%,NaN,NaN
CABO,"Cable One, Inc.",Communication Services,$126.16,9.0%,7.3%,"1,180.0%",$709.38,,,80.6%,429.6,$125.41
CAC,CAMDEN NATIONAL CORP,Financial Services,$38.45,4.0%,4.0%,168.0%,$649.38,$13.80,1,64.3%,49.0,$29.71
CADE,Cadence Bank,Financial Services,$30.30,3.6%,2.9%,105.0%,"$2,735.19",$17.86,,106.1%,39.2,$25.00
CADL,"Candel Therapeutics, Inc.",N/A,$4.92,,0.0%,0.0%,$246.51,,0,41.7%,14.6,$3.79
CAKE,The Cheesecake Factory Incorporated,Consumer Cyclical,$58.92,2.0%,1.3%,108.0%,"$2,918.19",$28.86,1,100.9%,60.1,$32.72
CAL,CALERES INC,Consumer Cyclical,$13.15,2.0%,2.1%,28.0%,$443.75,$5.33,0,97.4%,43.9,$12.25
CALM,CAL-MAINE FOODS INC,Consumer Defensive,$103.07,7.0%,2.9%,677.0%,"$5,055.17",$5.10,0,39.9%,112.2,$53.56
CALX,"CALIX, INC",Technology,$46.91,,0.0%,0.0%,"$3,054.98",,0,116.3%,48.9,$28.61
CAMP,Camp4 Therapeutics Corp,Technology,$1.36,,0.0%,0.0%,$27.61,,0,168.8%,12.3,$1.35
CAPR,"CAPRICOR THERAPEUTICS, INC.",Healthcare,$11.30,,NaN,0.0%,$545.75,,0,,NaN,NaN
CARE,"Carter Bankshares, Inc.",Financial Services,$16.65,,NaN,0.0%,$385.13,$13.92,0,,NaN,NaN
CARG,"CarGurus, Inc.",Communication Services,$31.76,,NaN,0.0%,"$3,138.38",$81.06,0,,NaN,NaN
CARS,Cars.com Inc.,Consumer Cyclical,$10.92,,NaN,0.0%,$685.46,$15.10,0,,21.2,$9.56
CASH,"PATHWARD FINANCIAL, INC.",Financial Services,$72.83,,0.3%,0.0%,"$1,738.58",$10.10,0,,85.9,$52.97
CASS,CASS INFORMATION SYSTEMS INC,Industrials,$41.66,3.0%,2.7%,0.0%,$556.84,$23.72,1,,46.2,$36.93
CATX,"Perspective Therapeutics, Inc.",N/A,$3.46,,NaN,0.0%,$256.09,,0,,NaN,NaN
CATY,CATHAY GENERAL BANCORP,Financial Services,$42.93,3.0%,3.1%,136.0%,"$3,011.94",$10.60,0,88.2%,54.1,$34.90
CBAN,COLONY BANKCORP INC,Financial Services,$15.26,3.0%,2.8%,46.0%,$266.54,$10.60,0,65.1%,18.2,$10.97
CBL,CBL & ASSOCIATES PROPERTIES INC,Real Estate,$25.78,9.0%,5.8%,240.0%,$797.83,$12.05,1,78.9%,31.6,$20.17
CBLL,"Ceribell, Inc.",N/A,$17.82,,0.0%,0.0%,$638.68,,0,79.9%,32.8,$10.01
CBNK,Capital Bancorp Inc,Financial Services,$31.04,1.0%,0.8%,40.0%,$517.47,$13.50,0,64.5%,34.3,$19.18
CBRL,"CRACKER BARREL OLD COUNTRY STORE, INC",Consumer Cyclical,$59.05,2.0%,6.2%,100.0%,"$1,314.42",$22.76,1,101.8%,65.0,$33.64
CBT,CABOT CORP,Basic Materials,$73.07,2.5%,2.0%,174.0%,"$3,926.62",$9.07,0,99.4%,115.7,$71.21
CBU,"COMMUNITY FINANCIAL SYSTEM, INC.",Financial Services,$54.17,3.4%,3.1%,184.0%,"$2,867.19",$14.99,1,77.8%,71.7,$42.27
CBUS,"Cibus, Inc.",N/A,$1.48,,0.0%,0.0%,$50.55,,0,258.7%,10.8,$1.40
CBZ,"CBIZ, Inc.",Industrials,$68.52,,0.0%,0.0%,"$3,725.56",$42.86,0,,90.1,$62.66
CCB,COASTAL FINANCIAL CORP,Financial Services,$83.10,,NaN,0.0%,"$1,248.83",$6.61,0,,NaN,NaN
CCBG,CAPITAL CITY BANK GROUP INC,Financial Services,$35.98,2.7%,1.9%,0.0%,$625.23,$10.93,0,,NaN,NaN
CCCC,"C4 Therapeutics, Inc.",N/A,$1.44,,NaN,0.0%,$102.25,,0,,NaN,NaN
CCNE,CNB FINANCIAL CORP/PA,Financial Services,$21.75,3.0%,3.2%,0.0%,$456.72,$9.29,0,,28.7,$18.28
CCO,"Clear Channel Outdoor Holdings, Inc.",Communication Services,$1.09,,NaN,0.0%,$546.39,,,,1.9,$0.81
CCOI,"COGENT COMMUNICATIONS HOLDINGS, INC.",Communication Services,$46.82,8.6%,7.8%,0.0%,"$2,305.53",,3,,82.6,$43.65
CCRN,CROSS COUNTRY HEALTHCARE INC,Industrials,$14.27,,NaN,0.0%,$467.16,,0,,NaN,NaN
CCS,"Century Communities, Inc.",Consumer Cyclical,$52.38,2.0%,1.5%,110.0%,"$1,598.21",,,110.9%,NaN,NaN
CCSI,"Consensus Cloud Solutions, Inc.",N/A,$22.15,,0.0%,0.0%,$434.00,$5.15,0,83.4%,32.1,$15.81
CDE,"Coeur Mining, Inc.",Basic Materials,$8.94,,0.0%,150.0%,"$5,770.07",$47.54,0,150.6%,9.7,$4.57
CDLX,"Cardlytics, Inc.",Communication Services,$1.76,,0.0%,0.0%,$93.98,,0,303.2%,9.5,$1.22
CDNA,"CareDx, Inc.",Healthcare,$19.37,,0.0%,0.0%,"$1,059.60",$17.07,0,148.4%,34.8,$13.48
CDP,COPT DEFENSE PROPERTIES,N/A,$28.61,4.3%,4.1%,119.0%,"$3,229.52",$22.89,1,60.8%,33.5,$23.16
CDRE,"Cadre Holdings, Inc.",N/A,$33.78,1.0%,0.7%,36.0%,"$1,371.45",$35.67,0,102.8%,40.0,$26.99
CDXS,"CODEXIS, INC.",Healthcare,$2.35,,0.0%,0.0%,$193.66,,0,247.6%,6.1,$1.90
CDZI,CADIZ INC,Utilities,$3.00,,0.0%,0.0%,$245.63,,,148.2%,5.7,$2.13
CECO,CECO ENVIRONMENTAL CORP,N/A,$29.37,,0.0%,29.0%,"$1,035.47",$21.83,0,,35.2,$17.57
CELC,Celcuity Inc.,Healthcare,$11.81,,NaN,0.0%,$447.20,,0,,19.8,$7.58
CENT,CENTRAL GARDEN & PET CO,Consumer Defensive,$34.36,,NaN,0.0%,"$2,176.24",$17.66,0,,NaN,NaN
CENTA,CENTRAL GARDEN & PET CO,Consumer Defensive,$30.33,,NaN,0.0%,"$2,176.24",$17.66,0,,37.3,$27.70
CENX,CENTURY ALUMINUM CO,Basic Materials,$17.27,,NaN,0.0%,"$1,610.41",$14.19,0,,25.4,$11.40
CERS,CERUS CORP,Healthcare,$1.34,,NaN,0.0%,$256.16,,0,,NaN,NaN
CEVA,CEVA INC,Technology,$20.61,,NaN,0.0%,$492.68,,0,,NaN,NaN
CFFN,"Capitol Federal Financial, Inc.",Financial Services,$5.82,6.0%,10.2%,0.0%,$756.75,$14.40,1,,7.0,$4.83
CGEM,"Cullinan Therapeutics, Inc.",N/A,$8.15,,NaN,0.0%,$481.56,,0,90.9%,21.0,$6.85
CGON,"Cg Oncology, Inc.",N/A,$26.30,,0.0%,0.0%,,,,213.7%,40.5,$14.80
CHCO,CITY HOLDING CO,Financial Services,$116.10,2.7%,2.2%,308.0%,"$1,681.27",$14.26,0,52.0%,135.4,$100.03
CHCT,Community Healthcare Trust Inc,Real Estate,$16.79,11.2%,10.9%,186.0%,$475.82,,,73.3%,24.9,$13.92
CHEF,"Chefs' Warehouse, Inc.",Consumer Defensive,$60.93,,0.0%,0.0%,"$2,477.83",$39.73,0,149.4%,66.5,$35.59
CHGG,"CHEGG, INC",Consumer Defensive,$1.44,,0.0%,0.0%,$153.46,,0,136.9%,3.8,$0.44
CHMG,CHEMUNG FINANCIAL CORP,Financial Services,$46.81,,2.6%,125.0%,$225.10,$9.94,0,38.7%,54.7,$40.43
CHPT,"ChargePoint Holdings, Inc.",N/A,$0.69,,0.0%,0.0%,$316.97,,0,212.2%,2.4,$0.51
CHRS,"Coherus BioSciences, Inc.",Healthcare,$0.76,,0.0%,0.0%,$88.99,,0,151.1%,2.4,$0.66
CHX,ChampionX Corp,N/A,$26.33,1.0%,0.9%,38.0%,"$5,039.56",$17.19,0,106.4%,35.6,$21.92
CIFR,Cipher Mining Inc.,N/A,$3.92,,0.0%,0.0%,"$1,414.32",,0,276.6%,8.0,$1.86
CIM,CHIMERA INVESTMENT CORP,Real Estate,$13.76,10.8%,21.0%,0.0%,"$1,107.68",$8.84,1,,15.6,$9.85
CIO,"City Office REIT, Inc.",Real Estate,$5.52,9.0%,12.3%,0.0%,$221.97,,,,NaN,NaN
CIVB,"CIVISTA BANCSHARES, INC.",Financial Services,$21.90,3.1%,2.6%,0.0%,$340.80,$9.60,0,,NaN,NaN
CIX,COMPX INTERNATIONAL INC,Industrials,$23.32,13.0%,6.9%,0.0%,$293.43,$16.32,2,,NaN,NaN
CLAR,Clarus Corp,Consumer Cyclical,$3.52,3.0%,3.0%,0.0%,$135.17,,,,NaN,NaN
CLB,Core Laboratories Inc.,Energy,$12.61,,0.4%,0.0%,$587.04,$24.75,0,,NaN,NaN
CLBK,"Columbia Financial, Inc.",Financial Services,$13.84,,NaN,0.0%,"$1,451.15",,0,,NaN,NaN
CLDT,Chatham Lodging Trust,Real Estate,$7.05,4.0%,2.0%,0.0%,$345.83,$116.17,2,,NaN,NaN
CLDX,"Celldex Therapeutics, Inc.",Healthcare,$20.70,,0.0%,0.0%,"$1,382.33",,0,135.9%,47.0,$14.40
CLFD,"Clearfield, Inc.",Technology,$39.74,,0.0%,0.0%,$549.78,,0,143.3%,44.8,$23.78
CLMB,"Climb Global Solutions, Inc.",N/A,$104.67,1.0%,0.7%,68.0%,$481.64,$24.62,0,81.3%,144.5,$54.55
CLNE,Clean Energy Fuels Corp.,Energy,$1.97,,0.0%,0.0%,$435.33,,0,202.3%,3.7,$1.30
CLPR,Clipper Realty Inc.,Real Estate,$3.86,9.8%,9.0%,38.0%,$62.16,,0,64.0%,6.7,$3.10
CLSKW,Cleanspark Inc.,N/A,$0.35,,0.0%,0.0%,,,,57.7%,1.6,$0.03
CLW,Clearwater Paper Corp,Basic Materials,$26.72,,0.0%,0.0%,$434.84,$2.52,0,64.0%,57.1,$22.58
CLYM,"Climb Bio, Inc.",N/A,$1.23,,0.0%,0.0%,$83.12,,0,14.2%,9.2,$1.05
CMC,COMMERCIAL METALS Co,Basic Materials,$48.62,1.0%,1.2%,72.0%,"$5,541.55",$75.78,1,117.7%,64.1,$37.92
CMCL,Caledonia Mining Corp Plc,Basic Materials,$19.47,3.0%,2.9%,56.0%,$375.64,$20.99,1,75.1%,20.1,$8.63
CMCO,COLUMBUS MCKINNON CORP,Industrials,$14.52,2.0%,1.9%,28.0%,$416.03,,,127.4%,40.8,$11.73
CMP,COMPASS MINERALS INTERNATIONAL INC,Basic Materials,$19.39,,5.4%,0.0%,$806.61,,0,,21.0,$7.51
CMPO,"CompoSecure, Inc.",N/A,$14.05,25.0%,5.0%,0.0%,"$1,439.61",,,,NaN,NaN
CMPR,CIMPRESS plc,Communication Services,$42.63,,NaN,0.0%,"$1,060.33",$6.83,0,,104.9,$35.21
CMPX,"Compass Therapeutics, Inc.",N/A,$2.38,,NaN,0.0%,$329.11,,0,,NaN,NaN
CMRE,Costamare Inc.,Industrials,$9.59,26.0%,9.9%,0.0%,"$1,243.00",$4.28,0,,NaN,NaN
CMT,CORE MOLDING TECHNOLOGIES INC,Basic Materials,$16.62,,NaN,0.0%,$149.45,,,,NaN,NaN
CMTG,"Claros Mortgage Trust, Inc.",N/A,$3.21,26.0%,27.2%,85.0%,$447.35,,,101.3%,9.7,$2.13
CNDT,CONDUENT Inc,Technology,$2.72,,0.0%,0.0%,$438.56,$1.59,0,110.1%,4.9,$1.90
CNK,"Cinemark Holdings, Inc.",Communication Services,$32.64,,0.1%,16.0%,"$3,761.14",$15.29,0,96.8%,36.1,$18.94
CNMD,CONMED Corp,Healthcare,$52.09,2.0%,1.4%,80.0%,"$1,611.35",$13.57,0,100.0%,77.2,$45.83
CNNE,"Cannae Holdings, Inc.",Consumer Cyclical,$19.78,2.0%,0.5%,48.0%,"$1,243.17",,,129.8%,21.9,$15.78
CNO,"CNO Financial Group, Inc.",Financial Services,$37.05,1.8%,1.5%,65.0%,"$3,674.18",$12.03,0,94.1%,43.0,$26.59
CNOB,"ConnectOne Bancorp, Inc.",Financial Services,$21.84,3.3%,2.8%,72.0%,$842.49,$11.90,0,88.0%,28.9,$16.83
CNR,"Core Natural Resources, Inc.",Industrials,$74.96,1.0%,1.8%,70.0%,"$3,942.66",$34.21,0,80.9%,134.2,$58.11
CNS,"COHEN & STEERS, INC.",Financial Services,$74.42,3.3%,2.9%,242.0%,"$3,798.46",$24.19,1,111.6%,108.4,$67.84
CNX,CNX Resources Corp,Energy,$34.38,,0.0%,9.0%,"$4,974.12",,0,68.2%,41.9,$23.63
CNXN,PC CONNECTION INC,Technology,$64.51,1.0%,0.8%,50.0%,"$1,638.12",$18.74,0,90.6%,76.7,$56.70
COCO,"Vita Coco Company, Inc.",N/A,$35.71,,0.0%,0.0%,"$2,025.39",$33.42,0,108.9%,40.3,$23.56
CODI,Compass Diversified Holdings,Industrials,$6.38,16.0%,18.7%,0.0%,$480.01,$37.48,3,,23.7,$6.00
COFS,CHOICEONE FINANCIAL SERVICES INC,Financial Services,$27.77,4.0%,3.4%,0.0%,$416.71,$57.98,2,,NaN,NaN
COGT,"Cogent Biosciences, Inc.",N/A,$7.22,,NaN,0.0%,$824.32,,0,,12.6,$3.72
COHU,COHU INC,Technology,$18.17,,NaN,0.0%,$845.42,,0,,36.6,$12.57
COLL,"COLLEGIUM PHARMACEUTICAL, INC",Healthcare,$29.60,,NaN,0.0%,$951.41,$21.68,0,,42.3,$23.23
COMM,"CommScope Holding Company, Inc.",Technology,$6.00,,NaN,0.0%,"$1,301.75",$1.77,0,,7.2,$1.05
COMP,"Compass, Inc.",N/A,$5.91,,NaN,0.0%,"$3,080.57",,0,254.6%,NaN,NaN
CON,"Concentra Group Holdings Parent, Inc.",N/A,$20.89,1.0%,0.2%,19.0%,"$2,676.23",$17.10,10,42.5%,24.6,$18.72
COOK,"Traeger, Inc.",N/A,$1.87,,0.0%,0.0%,$253.74,,0,177.2%,4.0,$1.28
COOP,Mr. Cooper Group Inc.,Financial Services,$144.52,,0.0%,0.0%,"$9,250.37",$13.83,,48.9%,147.9,$78.20
CORT,CORCEPT THERAPEUTICS INC,Healthcare,$71.18,,0.0%,0.0%,"$7,554.62",$57.01,0,48.2%,117.3,$28.10
