Ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
AGIO,"AGIOS PHARMACEUTICALS, INC.",Healthcare,$35.49,,0.0%,0.0%,"$2,055.99",$3.09,0,149.1%,62.6,$23.42
AGL,"agilon health, inc.",N/A,$2.18,,0.0%,0.0%,$902.41,,0,59.8%,7.7,$1.50
AGM,FEDERAL AGRICULTURAL MORTGAGE CORP,Financial Services,$188.46,3.2%,2.3%,580.0%,"$2,061.56",$11.62,0,90.6%,212.3,$158.35
AGS,"PlayAGS, Inc.",Consumer Cyclical,$12.39,,0.0%,0.0%,$514.25,$10.18,0,72.2%,12.4,$11.09
AGX,ARGAN INC,Industrials,$206.95,1.0%,0.5%,143.0%,"$2,813.01",$26.00,0,84.8%,246.6,$63.03
AGYS,AGILYSYS INC,Technology,$108.44,,0.0%,12.0%,"$3,039.04",$130.85,0,63.7%,142.6,$63.71
AHCO,AdaptHealth Corp.,Healthcare,$8.49,,0.0%,0.0%,"$1,144.36",$13.41,0,,11.9,$7.11
AHH,"Armada Hoffler Properties, Inc.",Real Estate,$6.95,11.0%,9.5%,0.0%,$556.28,$77.06,4,,11.8,$6.10
AHR,"American Healthcare REIT, Inc.",N/A,$35.78,3.0%,0.7%,0.0%,"$5,700.42",,,,36.3,$13.70
AI,"C3.ai, Inc.",Real Estate,$24.32,,NaN,0.0%,"$3,206.97",,0,,45.1,$17.03
AIN,ALBANY INTERNATIONAL CORP /DE/,Consumer Cyclical,$67.36,1.6%,1.4%,0.0%,"$2,033.97",$26.18,0,,94.2,$57.47
AIOT,PowerFleet Inc.,N/A,$4.73,,NaN,0.0%,$626.77,,,,8.7,$3.70
AIP,"Arteris, Inc.",N/A,$8.90,,NaN,0.0%,$373.60,,0,,12.6,$5.46
AIR,AAR CORP,Industrials,$66.95,,NaN,0.0%,"$2,417.15",,0,,76.3,$46.51
AIRS,"Airsculpt Technologies, Inc.",N/A,$5.00,,1.6%,0.0%,$293.90,,,,9.2,$1.53
AISP,"Airship AI Holdings, Inc.",N/A,$4.75,,NaN,0.0%,$149.03,,0,,NaN,NaN
AIT,APPLIED INDUSTRIAL TECHNOLOGIES INC,Industrials,$226.01,0.8%,0.6%,0.0%,"$8,613.98",$22.16,0,,281.9,$180.94
AIV,APARTMENT INVESTMENT & MANAGEMENT CO,Real Estate,$8.53,7.0%,2.0%,60.0%,"$1,207.35",,,104.7%,NaN,NaN
AKBA,"Akebia Therapeutics, Inc.",Healthcare,$3.67,,0.0%,0.0%,$934.98,,0,121.7%,4.1,$0.80
AKR,ACADIA REALTY TRUST,Real Estate,$19.27,4.2%,3.1%,76.0%,"$2,523.62",$126.25,25,105.7%,25.8,$16.46
AKRO,"Akero Therapeutics, Inc.",Healthcare,$54.99,,0.0%,0.0%,"$4,376.49",,0,-40.3%,58.4,$21.02
AKYA,"Akoya Biosciences, Inc.",N/A,$1.29,,0.0%,0.0%,$64.84,,0,179.8%,3.4,$0.93
ALCO,"ALICO, INC.",Consumer Defensive,$31.46,1.0%,2.6%,20.0%,$239.81,,,43.6%,34.0,$24.02
