Ticker,TotElems,NumElemsPerDay,NumElemsPerWeek
AAL,19,0.3,2.1
ACB,436,1.2,8.4
AG,52,2.0,14.0
CLOV,312,0.9,6.3
CRIS,5,0.0,0.0
CTRM,7,1.0,7.0
INO,5,0.0,0.0
NVAX,368,1.0,7.0
OPEN,203,23.2,162.4
RKT,72,0.4,2.8
SOXL,549,2.0,14.0
