date,userName,text,likes,replies,uri
2025-06-15T14:37:53.910Z,ricksaddler.bsky.social,"$AG has had a huge move with a little consolidation the past few days. I will wait for the right setup, for longer than a short-term swing trade - 14.00 is my target. bit.ly/hrcswingtrad... #stockmarket #stocktrading",0,0,at://did:plc:aanmz4azjv2f2p2nrunsokm3/app.bsky.feed.post/3lrnowrmpbk2a
2025-06-12T20:38:36.585Z,edwardgofsky.bsky.social,"This is arguably the greatest chart in the history of markets. The long-term $GDX vs $GLD chart. A breakout is in play, & a rally into Oct 2025 would be just the opening act of a multi-decade bull run for gold & silver stocks. Chart from Stewart Thomson. $SLV $SIL $SILJ $GDXJ $AG",0,0,at://did:plc:xp7ujox3wnridbhzaepcbqc3/app.bsky.feed.post/3lrgrozcjzs2t
2025-06-10T23:38:38.100Z,theoptionsbully2.bsky.social,"$COIN $F $IONQ $PG $DK $TRMD $BAX $PLUG $HAL $LYFT $CFLT $PEP $CSX $INTC $QUBT $SMR $BMY $ACHR $VERA $PRMB $SHOO $MIR $RXRX $AI $JD $RUN $AG $EDIT  www.patreon.com/posts/131185...   🎯 6/10/2025 - Top Unusual Options Live Trade Stocks  ⚠️ 200 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lrc2t3j2l22j
2025-06-06T22:29:20.296Z,edwardgofsky.bsky.social,$GDX ~ Gold stocks ETF. That’s one hell of a “Shooting Star” on the weekly close bar chart. Good luck to all. $GLD $PHYS $SLV $SILJ $SIL $GDXJ $NEM $AEM $B $AG $CDE $HL $PAAS #gold #silver,1,0,at://did:plc:xp7ujox3wnridbhzaepcbqc3/app.bsky.feed.post/3lqxv3ihy3c2k
2025-06-05T23:31:32.633Z,theoptionsbully2.bsky.social,"$CIVI $AES $HPE $KVUE $CSCO $IONQ $AVGO $SIG $NBIS $HOOD $NVO $OXY $APLD $PLTR $CRWV $VEEV $USAR $VERA $ASTL $AG $MDB $PL $XOM $PCG $HUT $APP $IRBT $TM  www.patreon.com/posts/130801...   🎯 6/5/2025 - Top Unusual Options Live Trade Stocks ⚠️ 180 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lqvi3sh2i22o
2025-06-05T18:56:23.888358+00:00,stocknear.bsky.social,$AG Argan shares are trading higher after Lake Street raised its price target on the stock from $150 to $236.,0,0,at://did:plc:r3actoubibsncjf55heasihj/app.bsky.feed.post/3lquypsijlc2y
