date,userName,text,likes,replies,uri
2025-06-17T00:01:49.110Z,theoptionsbully2.bsky.social,"$PLTR $SMCI $SNAP $IQ $NXE $SBUX $EH $TMC $AMD $SMR $ADM $UEC $BBAI $COHR $EOSE $VALE $ACHR $MGM $MARA $VRNA $WNS $CLOV $MO $IRM $NAK $RIVN $DJT $YETI  www.patreon.com/posts/131631...   🎯 6/16/2025 - Top Unusual Options Live Trade Stocks  ⚠️ 200 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lrr6w2yi6s2y
2025-06-13T00:32:47.868Z,theoptionsbully2.bsky.social,"$SOFI $GME $BULL $OXY $SMCI $AI $ORCL $BA $CVS $DAR $NET $CPNG $OKLO $NFE $CVNA $CLOV $F $CRK $AMPX $TER $UNFI $ON $URGN $BX $HYMC $TOST $GEN $IPA  www.patreon.com/posts/131345...   🎯 6/12/2025 - Top Unusual Options Live Trade Stocks  ⚠️ 200 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lrh6rrnsxs2m
2025-05-14T19:08:48.748Z,theoptionsbully2.bsky.social,"$RKLB $NBIS $WOLF $QBTS $STNE $HTZ $TTD $BSX $CORZ $HPE $ANET $APP $FNGR $BBAI $ABSI $ASTS $BHF $VST $VTLE $DASH $CL $OKLO $CLOV $PEP $NMM $TJX $SMR $AI  www.patreon.com/posts/128961...   🎯 5/14/2025 - Top Unusual Options Live Trade Stocks  ⚠️ 163 of 8,000+ Stocks Chosen As Relevant",0,0,at://did:plc:jpr6md55ruqrqlskog3ykywr/app.bsky.feed.post/3lp5p5rib422g
2025-05-07T15:24:02.752Z,stocknear.bsky.social,$CLOV Clover Health Investments shares are trading higher. The company reported Q1 financial results.,0,0,at://did:plc:r3actoubibsncjf55heasihj/app.bsky.feed.post/3lolpdfazga2b
2025-04-11T23:01:18.975Z,sonic.bsky.social,Chamath Palihapitiya is a scam artist. He made millions bringing suspect companies to market via SPACs. Look at the stock chart for every company he has brought public: $SPCE $OPEN $CLOV,26,0,at://did:plc:b24ltt5ox6jbnb5bopjhitxa/app.bsky.feed.post/3lml4r4he3k2z
2025-01-24T02:12:22.097Z,somegaveall.bsky.social,side note: I may have to hold on to my $CLOV stock longer  (i really wanna get off the train tho ugh),0,0,at://did:plc:naposdokqdypv53suf53xgsc/app.bsky.feed.post/3lghd2wlm5c2v
2024-12-24T16:12:29.746Z,fintwitter.bsky.social,Clover Health shares fall 1.99% intraday; Tractor Supply's Paper Clover campaign raises $1.2M for 4-H youth. $TSCO $CLOV #AInvest #Ainvest_Wire #liveanalysis #onlinetrading #investor View more:,0,0,at://did:plc:43fdk46qa5gsokzygzildsaq/app.bsky.feed.post/3le2tko56wg2q
2024-11-21T05:31:48.095Z,ctf21074.bsky.social,Looking forward to more of you and Moocao’s analysis! Go $clov.,0,0,at://did:plc:me5ibeyd5nmgsz7trinjt26f/app.bsky.feed.post/3lbgqemqv2s2y
