commentDate,videoDate,videoId,videoTitle,commentId,userName,comment_text,likes
2025-06-12T00:32:42Z,2025-06-11T20:36:13Z,xDj8CsytitA,"Airline Stocks Crash: Are they a Buy...? (DAL, AAL, LUV)",UgwjRHCSuv2dVNtjAdx4AaABAg,@TraderNick-Stocks,Remember to subscribe if you want more stock market coverage!,0
2025-06-11T22:49:47Z,2025-06-11T20:36:13Z,xDj8CsytitA,"Airline Stocks Crash: Are they a Buy...? (DAL, AAL, LUV)",UgwEaEP_VH-FEcdZo894AaABAg,@henriquezfamily5135,Executive order on countries coming 🇺🇸🇺🇸🔥🔥😎,0
2025-06-11T22:56:50Z,2025-06-11T20:36:13Z,xDj8CsytitA,"Airline Stocks Crash: Are they a Buy...? (DAL, AAL, LUV)",UgzUyNf6Bjo_tmB0g0R4AaABAg,@Polo_Solms,Thanks for the video,0
2025-06-12T05:06:51Z,2025-06-11T13:52:00Z,HytMAB2ukhE,aal stock ready fan #foryou #shortvideos #manufacturing #shortvideos #electricalindia #viral,UgxEdxkoTtMPcZGXzld4AaABAg,@Jitinkoli73,Bhai mere liye ek fen le ana,1
